Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
File,"Apache_Hadoop_YARN_Common_3.3.3.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,3975,0,0,0,99,0,0,0,3756,0,0,,,120,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0319489",0,0,0,0,0
File,"Apache_Hadoop_YARN_Common_3.3.4.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,3975,0,0,0,99,0,0,0,3756,0,0,,,120,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0319489",0,0,0,0,0
File,"Apache_Hadoop_YARN_Server_Common_2.10.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,1422,0,0,0,29,0,0,0,1369,0,0,,,24,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.017531",0,0,0,0,0
File,"Apache_Hadoop_YARN_Server_Common_2.6.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,2059,0,0,0,16,0,0,0,1955,0,0,,,88,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0450128",0,0,0,0,0
File,"Apache_Hadoop_YARN_Server_Common_2.7.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,759,0,0,0,4,0,0,0,735,0,0,,,20,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0272109",0,0,0,0,0
File,"Apache_Hadoop_YARN_Server_Common_2.8.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,829,0,0,0,4,0,0,0,805,0,0,,,20,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0248447",0,0,0,0,0
File,"Apache_Hadoop_YARN_Server_Common_2.8.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,829,0,0,0,4,0,0,0,805,0,0,,,20,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0248447",0,0,0,0,0
File,"Apache_Hadoop_YARN_Server_Common_2.8.3.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,829,0,0,0,4,0,0,0,805,0,0,,,20,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0248447",0,0,0,0,0
File,"Apache_Hadoop_YARN_Server_Common_3.1.0.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,1331,0,0,0,26,0,0,0,1281,0,0,,,24,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0187354",0,0,0,0,0
File,"Apache_Hadoop_YARN_Server_Common_3.2.2.xml",0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,1412,0,0,0,28,0,0,0,1360,0,0,,,24,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,"0.0176471",0,0,0,0,0
